pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
75.5565,-82.132,180.0,bottom,R7,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
75.5565,-84.657,0.0,bottom,R8,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
75.539,-79.592,0.0,bottom,R9,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
75.565,-102.489,90.0,top,RV1,,,Potentiometer_Bourns_3296W_Vertical,100K,tht
83.185,-102.489,90.0,top,RV2,,,Potentiometer_Bourns_3296W_Vertical,100K,tht
72.611,-71.617,0.0,top,SW1,,,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,~,smt
72.786,-89.397,0.0,top,SW2,,,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,~,smt
53.773,-114.971,0.0,top,SW3,,,SW_PUSH_6mm,~,tht
53.773,-123.1146,0.0,top,SW4,,,SW_PUSH_6mm,~,tht
101.714,-66.924,0.0,top,U1,,,ESP32-WROOM-32,ESP32-WROOM-32,smt
73.152,-80.507,0.0,top,U2,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340G,smt
75.946,-62.611,90.0,top,U3,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
96.911,-97.726,0.0,top,U4,,,DIP-4_W7.62mm,PC817,tht
96.911,-114.871,0.0,top,U5,,,DIP-4_W7.62mm,PC817,tht
96.911,-132.016,0.0,top,U6,,,DIP-4_W7.62mm,PC817,tht
65.151,-78.957,-90.0,top,Y1,,,Crystal_HC49-4H_Vertical,12MHz,tht
